Stkcd,ShortName,Accper,ROE,净利润增长率,营业收入增长率,资产负债率,总资产,研发投入,TobinQ,Year,Quarter,ln_Asset,ln_RD,RD_Intensity,Lag_1_ln_RD,Lag_1_RD_Intensity
300033,同花顺,2021-06-30,0.111262,1.404283,0.502759,0.405409,8662791888.75,369256222.64,7.404368,2021,2,22.882302896565744,19.727001334047536,0.04262554467221328,18.9896029543732,0.026928176651856907
300033,同花顺,2021-09-30,0.183636,0.014358,0.07622,0.276983,7697050079.5,560815953.23,8.650693,2021,3,22.764102985843543,20.14490334233491,0.07286115426527542,19.727001334047536,0.04262554467221328
300033,同花顺,2021-12-31,0.326676,1.226347,0.544645,0.238143,8501216297.49,828475501.28,9.381094,2021,4,22.86347508402809,20.535097825630903,0.09745376100177676,20.14490334233491,0.07286115426527542
300033,同花顺,2022-03-31,0.018499,-0.878468,-0.611293,0.248262,7474130708.47,261089040.44,7.138973,2022,1,22.734713656279315,19.380372062049382,0.034932362119934945,20.535097825630903,0.09745376100177676
300033,同花顺,2022-06-30,0.077622,2.334599,0.698153,0.271817,8264797681.64,519220823.98,6.526082,2022,2,22.835271088989355,20.067839832295544,0.06282317413932993,19.380372062049382,0.034932362119934945
300033,同花顺,2022-09-30,0.136578,0.065491,0.01332,0.215348,8214298196.86,787692932.79,5.286171,2022,3,22.829142155310986,20.484618893946507,0.09589290696691577,20.067839832295544,0.06282317413932993
300033,同花顺,2022-12-31,0.246494,1.034601,0.448346,0.197436,9027537722.88,1067071449.13,6.069772,2022,4,22.92354548977013,20.788183770594827,0.11820182666482161,20.484618893946507,0.09589290696691577
300033,同花顺,2023-03-31,0.018434,-0.848858,-0.524861,0.254164,8067529450.35,280586198.14,13.868206,2023,1,22.811113132376445,19.452391541030362,0.03477969307293041,20.788183770594827,0.11820182666482161
300033,同花顺,2023-06-30,0.067341,1.757341,0.411333,0.26924,8751571931.83,563314082.15,11.036509,2023,2,22.892499170532922,20.14934790470633,0.06436718872197032,19.452391541030362,0.03477969307293041
300033,同花顺,2023-09-30,0.110486,-0.076414,0.047903,0.215858,8548884810.39,873415983.28,9.614709,2023,3,22.869066679854814,20.587922500061918,0.1021672420031303,20.14934790470633,0.06436718872197032
300033,同花顺,2023-12-31,0.19259,1.029957,0.321501,0.256531,9844860690.35,1179239106.34,8.822758,2023,4,23.010215398642817,20.888135243147254,0.11978220346946078,20.587922500061918,0.1021672420031303
300033,同花顺,2024-03-31,0.015313,-0.83566,-0.480793,0.271352,8569545070.62,301991346.68,8.486969,2024,1,22.871480484205442,19.5259089248625,0.035240067493822184,20.888135243147254,0.11978220346946078
300033,同花顺,2024-06-30,0.052488,1.494214,0.245303,0.248182,8655356010.36,592161436.99,6.689178,2024,2,22.881444158219093,20.199289854980016,0.06841560720104573,19.5259089248625,0.035240067493822184
300033,同花顺,2024-09-30,0.09232,0.112098,0.226642,0.269039,9278219945.84,884728786.67,11.469836,2024,3,22.95093554916441,20.600791701395224,0.09535544445318724,20.199289854980016,0.06841560720104573
300033,同花顺,2024-12-31,0.238436,3.069952,0.959294,0.273509,10976501567.53,1193243542.03,14.354499,2024,4,23.119022603636058,20.899941102589043,0.1087089119141365,20.600791701395224,0.09535544445318724
300033,同花顺,2025-03-31,0.016667,-0.897256,-0.596027,0.297154,9219925811.62,290753816.76,16.95006,2025,1,22.944632828020502,19.48798748000771,0.03153537487184104,20.899941102589043,0.1087089119141365
300033,同花顺,2025-06-30,0.067686,2.167012,0.378289,0.336379,10332464766.13,580695229.82,14.541138,2025,2,23.05855669433999,20.17973661749643,0.056201036535205924,19.48798748000771,0.03153537487184104
